Rating,Title,Review
4.0,Worth the money,Good for avarage use for user . Good phone from samsung BUT THEY DON'T GIVE NFC IN PHONE AND DETAILS SHOW BY SAMSUNG IS NFC SUPPORTING. READ MORE
5.0,Best in the market!,Awesome selfie READ MORE
5.0,Must buy!,Nice 👍👍 READ MORE
5.0,Brilliant,Very very great deal love the phone READ MORE
5.0,Mind-blowing purchase,Very nice READ MORE
4.0,Nice product,Nice smart phone for this budget READ MORE
3.0,Slightly disappointed,Performance is worst very very slow. Every time laging while any application open. Adaptive brightness not working properly.  Waste of money better try other brands. READ MORE
3.0,Bad quality,"Slow processing, bad camera not 50 mpxl. 50 mpxl looks like a 2mpxl. Front camera also worst. Team samsung, dont give fake mobile specifications. READ MORE"
5.0,Super!,Very beautiful phone 😍  And looking awesome ☺️ New generation hands set 🥰 READ MORE
3.0,Expected a better product,It's completely a rubbish phone.I do not recommend it to buy. Ram plus is a big scam READ MORE
5.0,Excellent,Good camera READ MORE
5.0,Terrific,Verry good mobail READ MORE
5.0,Classy product,Good READ MORE
3.0,Nice,"just a big phone with big battery, not fast device, no notification led, Samsung always does this with budget phones, better get alternatives for this price. only bought this for the brand.. READ MORE"
4.0,Worth the money,Good piece READ MORE
3.0,Could be way better,Phone  is very slow  in using  Am not  satisfied  this model. READ MORE
4.0,Value-for-money,Good phone READ MORE
5.0,Super!,Nice phone READ MORE
5.0,Brilliant,Camera Quality also Good READ MORE
5.0,Great product,Nice and beautiful products READ MORE
3.0,Don't waste your money,"Looks wise ok,but performance and speed wise zero ....samsung mobiles are worst in low and medium range its proved onece again READ MORE"
4.0,Wonderful,Value for money Phone is good in performance.  Camera is good just slow motion video is not there.  Over all phone is good in budget. READ MORE
5.0,Classy product,Good READ MORE
5.0,Great product,Terrific 💯 READ MORE
5.0,Must buy!,Good READ MORE
3.0,Horrible,Camera is very poor and set is not smooth enough READ MORE
3.0,Useless product,Don't buy mobile phone from Flipkart READ MORE
5.0,Best in the market!,Very nice READ MORE
5.0,Super!,Nice phone READ MORE
4.0,Nice product,"Valued for money, overall good. READ MORE"
5.0,Fabulous!,Very good READ MORE
3.0,Expected a better product,Just okay but don't buy anyone 😞😞 READ MORE
5.0,Terrific purchase,Excellent mobile great quality READ MORE
3.0,Useless product,"After purchasing the phone and within a week, it started to switch off and not getting started When taken to customer care centre they said that it was some small glitch and after rebooting it'll work fine, but the problem persisted and is still there Do not understand where to take this phone now It is a dead phone for us now Did not expect to get a phone with such poor support We were looking to buy Made in India and non Chinese hence ended up buying this Pathetic experience READ MORE"
4.0,Wonderful,Experience is good ..quality first class READ MORE
5.0,Highly recommended,Honestly review....aftr using 4 weeks thz is an amazing @ d wide range ...it's ok fr a basic user's...good condition READ MORE
5.0,Highly recommended,Good picture quality ❤️ READ MORE
4.0,Really Nice,Must buy! Looks cool. Budget friendly READ MORE
5.0,Worth every penny,"Camera, Battery Backup ,Color 🥰🥰😍😍 READ MORE"
5.0,Brilliant,Good choice READ MORE
3.0,Useless product,"Dirty mobile, don't waste your money READ MORE"
3.0,Terrible product,In case of price it's better to buy another mobile  I Just paid that high amount for the brand  Waste of money READ MORE
5.0,Worth every penny,Nice phone READ MORE
5.0,Classy product,Awesome product. Happy with this product... READ MORE
4.0,Pretty good,I am so happy.... very very very good phone READ MORE
5.0,Awesome,Perfect for my mom she is happy READ MORE
5.0,Just wow!,Valu for mony... READ MORE
5.0,Awesome,Phone is good lovely READ MORE
5.0,Just wow!,Very good performance of camera  😍 🎉 READ MORE
3.0,Could be way better,"Old specifications, 60hz refresh rate disappointed us, old processor, 15 watt charger ia not enough for 6000 mah battery, late charging, too much lgggy, overall not worthy fone in this segment and price. READ MORE"
5.0,Just wow!,Very nice mobile READ MORE
5.0,Mind-blowing purchase,This is very good budget phone READ MORE
5.0,Terrific,I would recommend it.. Aaage ka it's upto uh!! READ MORE
5.0,Awesome,Good READ MORE
3.0,Utterly Disappointed,"LTE supported device not supports 4G, hence net connectivity is very slow. READ MORE"
3.0,Hated it!,Samsung very full slow weest phone money weest  No buy it  very bad  😡 READ MORE
5.0,Perfect product!,"Very nice mobile, nice battery backup,nice camera quality, overall very nice product READ MORE"
5.0,Classy product,Product is good READ MORE
5.0,Highly recommended,"I'm a samsung smartphone user, since 2010. This is my fourth smartphone. As a customer it's my honest feedback - if anyone looking for a non-chinise smartphone under budget, pls go for it. Thank you so somuch - Flipkart for on time delivery. READ MORE"
5.0,Classy product,Nice product 👍 READ MORE
3.0,Worst experience ever!,"Camera qulity low, phone hang, display not work,  chrging prblm, speaker problm, calling volume  isuses READ MORE"
5.0,Mind-blowing purchase,READ MORE
5.0,Wonderful,Good product I love it READ MORE
3.0,Does the job,Phone is average. No back cover. No screen cover. Not 5g. No fast charging. Perfomance good. Good battery perfomance. Good display. Average camera quality. Samsung lovers can buy. Compared to other smart this phone its not good. Not a budject smartphone. READ MORE
4.0,Pretty good,Awesome READ MORE
3.0,Absolute rubbish!,Hanging issue READ MORE
5.0,Great product,Phone battery is best READ MORE
5.0,Brilliant,Not bad READ MORE
3.0,Not good,Bad product READ MORE
5.0,Worth every penny,Verry nice ☺️☺️☺️☺️ READ MORE
5.0,Must buy!,Excellent READ MORE
5.0,Must buy!,Super hits READ MORE
3.0,Expected a better product,3rd grade mobile READ MORE
5.0,Fabulous!,Very good 😊😊 READ MORE
5.0,Perfect product!,Nice READ MORE
3.0,Worst experience ever!,"Not working fastly , f13 buying wastage of mony  Hanging problems  Heeting problems net very slow READ MORE"
4.0,Really Nice,Good mobile phone READ MORE
5.0,Worth every penny,Nice mobile READ MORE
4.0,Nice product,Camera and dishplay quality is average also performance. Battery is good 👍 But Flipkart service is too good 👍 Thank you Flipkart... READ MORE
4.0,Value-for-money,"is a very good using and nice pics,battery is good  camera is nice ,this is a good bajeet READ MORE"
5.0,Mind-blowing purchase,excellent mobile READ MORE
4.0,Delightful,"Battery backup is good, even display is good but processor is not good it's lagging almost every time when use 2 to 3 app at a time. READ MORE"
5.0,Super!,Good READ MORE
3.0,Very poor,Heating issue READ MORE
5.0,Highly recommended,The phone is good READ MORE
3.0,Worthless,Only a hype READ MORE
3.0,Waste of money!,Very poor camera quality. READ MORE
5.0,Worth every penny,Good phone nice READ MORE
4.0,Very Good,Good product... READ MORE
5.0,Terrific,NICE PRODUCT READ MORE
5.0,Wonderful,So good READ MORE
5.0,Just wow!,Nice READ MORE
3.0,Does the job,Kinda cool READ MORE
4.0,Very Good,Exillant READ MORE
5.0,Perfect product!,Pastel blue colour looks amazing. A case might kill the look. The colour is nothing you can expect from this price range. Looks far better than 30K phones. Bought for my cousin. So can’t comment much on internal performances. READ MORE
3.0,Worst experience ever!,Not upto the expectation READ MORE
4.0,Very Good,Very nice mobile love it READ MORE
5.0,Mind-blowing purchase,GOOD PRODUCT  NICE PHONE READ MORE
3.0,Worthless,Not worth. Lagging issues. Apps not working properly. READ MORE
5.0,Best in the market!,Good READ MORE
5.0,Terrific purchase,Price worthy READ MORE
3.0,Don't waste your money,Camara not good rest all well READ MORE
4.0,Good choice,NYC product. According to its price totally value for money. READ MORE
3.0,Moderate,Waste phone READ MORE
3.0,Expected a better product,Waste money READ MORE
3.0,Not good,Too slow. READ MORE
4.0,Worth the money,Good product READ MORE
3.0,Decent product,According to the price the phone is good. READ MORE
5.0,Classy product,Very nice  nd  beautiful color samsung  mobile.... fast delivery  nd  thank you flip kart 💜💯 READ MORE
3.0,Highly recommended,Very nice product  Very nice battery backup 2day  Camera camera quality is very good  Performance is solo READ MORE
5.0,Wonderful,Average Good READ MORE
5.0,Super!,Nice  phone READ MORE
5.0,Must buy!,Good READ MORE
3.0,Very poor,Very bad flipkart services I buy a samsung f13 Mobile but it's processor is very bad it take a long time to open any app  It show return policy but flipkart deny to return it  Shoping on flipkart is waste of money  Very bad experience Please do not shopping from flipkart READ MORE
5.0,Highly recommended,Good phone in this amount READ MORE
3.0,Could be way better,No fast oprate READ MORE
4.0,Delightful,Wonder full READ MORE
5.0,Best in the market!,Nice product READ MORE
3.0,Waste of money!,"Very bad product,so laggy and not value for money READ MORE"
5.0,Best in the market!,Love u flipkart READ MORE
4.0,Nice product,"Good for normal uses display quality is good, camera in day time descent but processor performance is  disappointed READ MORE"
5.0,Highly recommended,Very good  finishing mobile ...... thanks Flipkart .....all time good product READ MORE
4.0,Good quality product,Good READ MORE
5.0,Terrific,Nice product. Good price. READ MORE
3.0,Slightly disappointed,Too slow READ MORE
5.0,Brilliant,Fantastic delivery and nice quality product READ MORE
5.0,Worth every penny,Good product READ MORE
3.0,Just okay,Very bad product. Don't buy. Waste of money. READ MORE
5.0,Awesome,Good READ MORE
5.0,Fabulous!,Superb phone READ MORE
5.0,Wonderful,Its very beautiful phone. READ MORE
5.0,Highly recommended,Nice READ MORE
3.0,Very poor,Worst device from Samsung don't buy Samsung f series total garbage READ MORE
3.0,Just okay,Camera quality average READ MORE
5.0,Brilliant,I am very very very happy very good 👍👍 value for money 🤑💰 thankyou so much ❤️🥰😘🥰 READ MORE
5.0,Classy product,Good READ MORE
5.0,Wonderful,Best quality READ MORE
5.0,Just wow!,Good product READ MORE
5.0,Worth every penny,Awesome!!! READ MORE
5.0,Fabulous!,Ok READ MORE
5.0,Awesome,Good product. READ MORE
5.0,Brilliant,Samsung ☺️😊 just name is enough 😍 READ MORE
4.0,Good choice,Good READ MORE
5.0,Terrific purchase,Very good phone READ MORE
3.0,Fair,Well. READ MORE
4.0,Wonderful,Looking good READ MORE
3.0,Utterly Disappointed,Galaxy f13 is very bad mobile this phone have Manny issue like hanging problem screen problem application is not proper working in this phone READ MORE
3.0,Worthless,Very bad phone don't buy this phon hanging problem READ MORE
3.0,Fair,"Phone is ok and working properly......but processor is not upto the mark , need to improve processor READ MORE"
5.0,Mind-blowing purchase,Beautiful mobile Nice performance nice camera READ MORE
3.0,Absolute rubbish!,Very bad experience hanging too much READ MORE
5.0,Brilliant,Great READ MORE
3.0,Moderate,Waste phone READ MORE
5.0,Simply awesome,Good product READ MORE
4.0,Pretty good,Reallys good READ MORE
5.0,Terrific purchase,Good READ MORE
3.0,Does the job,Hang problem READ MORE
5.0,Terrific,Good READ MORE
5.0,Worth every penny,East or west samsung is best READ MORE
4.0,Pretty good,Good for normal user. Not for heavy user. READ MORE
5.0,Great product,Good READ MORE
4.0,Very Good,Very good mobile READ MORE
5.0,Highly recommended,Nice mobile READ MORE
5.0,Best in the market!,Very nice products READ MORE
5.0,Classy product,Good phone READ MORE
3.0,Could be way better,THIS PHONE IS NOT FOR GAMING READ MORE
5.0,Terrific purchase,Nice  Mobile  All features is good READ MORE
4.0,Wonderful,Nice product satisfied READ MORE
4.0,Good choice,Ok READ MORE
5.0,Awesome,Nice pic 👍 READ MORE
4.0,Worth the money,"It's good phone so far, will update comment after 1month. I am running out one issue that is ' double tap on' not working for me,first two days it worked fine,after that it's not working ,rest all features are working as expected. READ MORE"
3.0,Not good,Net activity not working READ MORE
5.0,Great product,Good READ MORE
3.0,Horrible,Bad phone READ MORE
3.0,Horrible,Camera is very poor and set is not smooth enough READ MORE
5.0,Terrific,Ok READ MORE
3.0,Just okay,Good READ MORE
5.0,Wonderful,Average Good READ MORE
5.0,Best in the market!,Good READ MORE
5.0,Mind-blowing purchase,Cool READ MORE
5.0,Terrific purchase,So good READ MORE
5.0,Mind-blowing purchase,🌟Its a great day to day usage phone🌟 Best budget segment smartphone🏅 Very durable long lasting  battery⚡ 8gb Ram+ feature is good🎁 Gameplay is also fine but not great⚡ Not much heating issues its gud❄ Camera quality is good and refreshing🤩 Punchy viewing experience🤩  despite missing amoled display. Im now a fan of samsung phone display🌌 🌟This smartphone is great value for money🌟 💯Worthy buy💯 Atlast It is built by the world number one Smartphone brand🌟 Its a great deal dont miss it... READ MORE
5.0,Perfect product!,Nice but battery back waste READ MORE
5.0,Fabulous!,Superb phone READ MORE
5.0,Wonderful,Best mobile phone 📱 READ MORE
5.0,Highly recommended,Very nice product READ MORE
4.0,Value-for-money,Camara is excellent  Super mobile for use ... READ MORE
3.0,Utterly Disappointed,"Dont buy this product bcoz this product i faced lots of issues and main problem is company will not provide customer services problems, they not able to return the product and they not able to provide technical, i am facing a lost of issues about Flipkart, and i am giving us a suggestion plz improve your customers services and solve there problems issues as soon as . Thanks a lot 🙏🏻 READ MORE"
5.0,Just wow!,Gud READ MORE
3.0,Hated it!,Worst READ MORE
3.0,Decent product,Not provided mirror cast (that normally provides by all manufacturers even samsung too) in this mobile phone. Which we simply connected our mobile to TV. Need to download app from play store that dangerous too for our data. Hope samsung resolve this issue through upcoming updating. READ MORE
4.0,Nice product,Good READ MORE
5.0,Brilliant,"Super phone, excellent product from samsung READ MORE"
3.0,Did not meet expectations,Very bad READ MORE
3.0,Just okay,Very bad product. Don't buy. Waste of money. READ MORE
5.0,Fabulous!,Good READ MORE
3.0,Could be way better,Hanging problem bed phone READ MORE
5.0,Simply awesome,Wonderful phone in this budget READ MORE
4.0,Nice product,Awesome 😎👍 READ MORE
4.0,Good choice,It’s good READ MORE
5.0,Best in the market!,Good phone in best price READ MORE
5.0,Must buy!,Good phone to gift to parents READ MORE
5.0,Wonderful,Nice product READ MORE
4.0,Wonderful,"Good, but display size too much larger READ MORE"
5.0,Fabulous!,Super Mobile. Very Fast Network. Good Battery. High Quality Design. Thanks Flipkart🥳🥳🥳🥳🥳 READ MORE
5.0,Wonderful,I am happy READ MORE
3.0,Terrible product,Very slow phone. Sometimes hangs. READ MORE
5.0,Best in the market!,Very very very good READ MORE
3.0,Unsatisfactory,Network issue and hugging problem READ MORE
5.0,Best in the market!,Good READ MORE
3.0,Absolute rubbish!,Batter no not link and display  charging is bad READ MORE
4.0,Wonderful,the photo for the cost is very nice READ MORE
3.0,Could be way better,"Old specifications, 60hz refresh rate disappointed us, old processor, 15 watt charger ia not enough for 6000 mah battery, late charging, too much lgggy, overall not worthy fone in this segment and price. READ MORE"
5.0,Excellent,Excellent mobile READ MORE
5.0,Brilliant,Nice phone READ MORE
4.0,Very Good,Good READ MORE
5.0,Great product,Awesome READ MORE
4.0,Really Nice,Good READ MORE
5.0,Fabulous!,Ok READ MORE
3.0,Good,Better mobile READ MORE
5.0,Wonderful,Good product 👌 READ MORE
3.0,Horrible,Very slow infront of MI same configuration READ MORE
5.0,Worth every penny,Super READ MORE
5.0,Mind-blowing purchase,Awesome Product READ MORE
5.0,Just wow!,Nice READ MORE
3.0,Decent product,Selfie nice picture READ MORE
4.0,Delightful,Yha the product is good READ MORE
5.0,Highly recommended,Very nice  Good product 👍 READ MORE
5.0,Terrific purchase,Nice product 👍👍 READ MORE
5.0,Just wow!,Super READ MORE
5.0,Just wow!,Deep READ MORE
4.0,Delightful,Good quality READ MORE
5.0,Highly recommended,I like it ☺️ mobile READ MORE
5.0,Perfect product!,Love it READ MORE
3.0,Not good,This is not heavy and normal user. This mobile is just mobile. Many basic apps not supported. READ MORE
4.0,Really Nice,Good READ MORE
5.0,Excellent,Nice phone READ MORE
5.0,Excellent,I feel wow no subject line write that phone Gjb Lajawaab Awesome Beautiful I love myself READ MORE
5.0,Terrific purchase,It's really a good phone in this range. READ MORE
5.0,Worth every penny,Good quality READ MORE
5.0,Perfect product!,Nice READ MORE
3.0,Just wow!,Good READ MORE
5.0,Must buy!,Awesome 👍 READ MORE
4.0,Good quality product,Amazing 😊 READ MORE
5.0,Awesome,Good READ MORE
5.0,Perfect product!,Sooo good READ MORE
3.0,Does the job,Good mobile and good camera battery is the better READ MORE
4.0,Good quality product,Just ok READ MORE
4.0,Wonderful,Good 👍 READ MORE
5.0,Great product,Osm READ MORE
4.0,Worth the money,Good mobile nice performance READ MORE
5.0,Simply awesome,Very nice READ MORE
5.0,Fabulous!,Very nice mobile READ MORE
3.0,Absolute rubbish!,Product is good at a reasonable price but the problem is with delivery person he did not delivered the product at exact address I have to walk 2 km to get my product. Although delivery experience was very poor READ MORE
5.0,Mind-blowing purchase,It's so good READ MORE
5.0,Brilliant,This device is good on this price 🙂 READ MORE
5.0,Must buy!,Very good READ MORE
5.0,Excellent,Good product READ MORE
5.0,Fabulous!,Excellent mobile this price range READ MORE
3.0,Useless product,Very slow device READ MORE
5.0,Excellent,"Samsung phone is very best on this price ,  Battery 🔋 backup, very good READ MORE"
3.0,Worthless,"Camera quality is too poor, As mentioned on web site 50MP. But it is not for the same READ MORE"
5.0,Brilliant,Very good READ MORE
5.0,Mind-blowing purchase,Nyc phone READ MORE
4.0,Nice product,NICE 📱.... READ MORE
4.0,Good quality product,Overall good phone exclude camera READ MORE
5.0,Fabulous!,Worth for this cost! READ MORE
5.0,Wonderful,Very Nice READ MORE
5.0,Fabulous!,Nice mobile... READ MORE
4.0,Delightful,Nice affordable price range phone. Features not here like other samsung. Simple phone  Enjoy....... READ MORE
3.0,Just okay,Normal use READ MORE
3.0,Nice,Superb phone READ MORE
5.0,Classy product,Good READ MORE
3.0,Fair,Camera quality is not good READ MORE
4.0,Very Good,Good READ MORE
3.0,Terrible product,Poor READ MORE
3.0,Does the job,Camera quality  not good.. READ MORE
4.0,Pretty good,Looking good READ MORE
5.0,Perfect product!,Fantastic READ MORE
3.0,Hated it!,Very bad phone READ MORE
4.0,Good choice,Really good READ MORE
5.0,Perfect product!,Best quality READ MORE
5.0,Terrific,Best READ MORE
4.0,Very Good,Nice READ MORE
3.0,Unsatisfactory,Very bad display... Not worth for money .. READ MORE
3.0,Useless product,Hanging very very slow in response touch is very hard READ MORE
3.0,Terrible product,Waste of money READ MORE
5.0,Wonderful,Super se upar 😎😎😎😎 READ MORE
3.0,Did not meet expectations,Not suggest READ MORE
5.0,Classy product,Very nice 👍 READ MORE
4.0,Good quality product,Good READ MORE
4.0,Nice product,Good phone READ MORE
5.0,Classy product,Samsung galaxy phones are famous by there camera because it's good capture then other pixels and so smooth quality of pictues and videos ! READ MORE
4.0,Good quality product,This low budget phone is good at discounted price READ MORE
5.0,Terrific purchase,All ok but ram very low. I think ram more than 6 GB required. READ MORE
4.0,Really Nice,Good READ MORE
4.0,Pretty good,This phone is good for normal uses READ MORE
5.0,Best in the market!,Good READ MORE
4.0,Very Good,Good one READ MORE
5.0,Terrific purchase,Nyc product READ MORE
4.0,Delightful,Good but first time when I use this phone it works slowly READ MORE
5.0,Fabulous!,"In this price point good performance,and camera, Totally worth it. READ MORE"
5.0,Super!,Good READ MORE
5.0,Super!,Super READ MORE
5.0,Super!,Good phone best price READ MORE
3.0,Fair,Hanging often. Other wise somewhat ok READ MORE
3.0,Worst experience ever!,Waste product don't bay READ MORE
3.0,Absolute rubbish!,Bad performance this product READ MORE
5.0,Simply awesome,I m so very happy right now .. Thank you filip cart .. Samsung Galaxy F13 phone is the best ... 💕 So I m recommend for every person guys go and purchases now lower price best phone. . I m so very happy READ MORE
3.0,Moderate,"Camera is very disappointed,  display quality also not good READ MORE"
3.0,Does the job,Ok READ MORE
5.0,Worth every penny,Phone features is best... Totally good READ MORE
5.0,Super!,Nice READ MORE
5.0,Excellent,Camera clarity is not satisfied but product is excellent READ MORE
5.0,Excellent,best quality READ MORE
5.0,Mind-blowing purchase,good READ MORE
5.0,Classy product,Vry good READ MORE
4.0,Pretty good,Good READ MORE
5.0,Simply awesome,all good READ MORE
4.0,Value-for-money,Worth for this rate.. (A)Brightness problem.. Battery down 10% when mobile is an idle in night time. READ MORE
4.0,Very Good,Good READ MORE
5.0,Worth every penny,Nice  Very good READ MORE
4.0,Worth the money,Value for money... READ MORE
4.0,Value-for-money,Good product 👍🏻 Good camera quality  Good battery backups  But performance level il not good as i expect. READ MORE
5.0,Great product,Awesome READ MORE
5.0,Awesome,Fantastic READ MORE
5.0,Wonderful,Good product 👌 READ MORE
5.0,Great product,Must buy READ MORE
4.0,Good choice,Very nice READ MORE
5.0,Classy product,"It's a very good product ,I like it  It's camera so osm totally It's worth you guys go for it READ MORE"
4.0,Delightful,Loved it READ MORE
5.0,Excellent,Nice product ☺️👍 READ MORE
5.0,Highly recommended,Very nice  Good product 👍 READ MORE
3.0,Horrible,Display quality is very bad READ MORE
5.0,Super!,This is review is written in 5 days of usage. Phone is good and performance is good. READ MORE
4.0,Value-for-money,Good READ MORE
3.0,Absolute rubbish!,"Mobile is lagging,freezing and hanging ☹️ READ MORE"
3.0,Nice,Ok READ MORE
5.0,Terrific,Good performance ha READ MORE
5.0,Brilliant,Gud READ MORE
3.0,Just okay,Good not bad in this segment its good READ MORE
5.0,Mind-blowing purchase,Nice post READ MORE
5.0,Wonderful,Super READ MORE
5.0,Excellent,Ok READ MORE
5.0,Must buy!,Very good nice READ MORE
5.0,Must buy!,Awesome 👍 READ MORE
5.0,Awesome,Good READ MORE
5.0,Perfect product!,Sooo good READ MORE
4.0,Good choice,Exlent product READ MORE
5.0,Must buy!,Very good READ MORE
4.0,Good quality product,Nice READ MORE
3.0,Fair,Thank you READ MORE
5.0,Super!,To good for student READ MORE
5.0,Perfect product!,Good READ MORE
5.0,Great product,Look nice new design READ MORE
5.0,Wonderful,Very nice READ MORE
5.0,Worth every penny,good READ MORE
5.0,Highly recommended,Good READ MORE
4.0,Really Nice,Fantastic READ MORE
5.0,Worth every penny,Nice READ MORE
3.0,Did not meet expectations,Worst phone READ MORE
5.0,Worth every penny,Very  smart phone READ MORE
5.0,Highly recommended,Very good READ MORE
5.0,Must buy!,Best READ MORE
5.0,Just wow!,Good READ MORE
5.0,Mind-blowing purchase,Very good READ MORE
4.0,Value-for-money,Camera is so impressive READ MORE
4.0,Worth the money,Charging is slowly  But good on this price renge READ MORE
5.0,Best in the market!,Super Phone READ MORE
4.0,Wonderful,Very good READ MORE
3.0,Unsatisfactory,Rear camera is not  up mark. Customer care executive not supporting well READ MORE
5.0,Simply awesome,For the price every thing is best  but thoda slow feel hoga READ MORE
4.0,Worth the money,Good READ MORE
5.0,Super!,Good READ MORE
5.0,Great product,Nice product READ MORE
3.0,Horrible,Its very bad READ MORE
5.0,Excellent,"Samsung phone is very best on this price ,  Battery 🔋 backup, very good READ MORE"
4.0,Pretty good,Nice product READ MORE
5.0,Fabulous!,"Design is Good, Performance very well, Nice Mobile, Value of Money..😍 READ MORE"
5.0,Fabulous!,Good READ MORE
5.0,Brilliant,Very good READ MORE
4.0,Really Nice,Good READ MORE
5.0,Perfect product!,Ok READ MORE
5.0,Fabulous!,Worth for this cost! READ MORE
3.0,Worst experience ever!,Bad products READ MORE
3.0,Unsatisfactory,Poor READ MORE
3.0,Did not meet expectations,Network issues READ MORE
3.0,Did not meet expectations,Don't take Samsung mobile waste mobiles READ MORE
5.0,Highly recommended,Better READ MORE
3.0,Good,Good READ MORE
5.0,Terrific purchase,Nice phone READ MORE
4.0,Pretty good,Super READ MORE
3.0,Did not meet expectations,Bad READ MORE
5.0,Brilliant,Good READ MORE
5.0,Great product,Nice READ MORE
3.0,Did not meet expectations,Normal for using READ MORE
5.0,Mind-blowing purchase,Value for money. READ MORE
5.0,Just wow!,Nic READ MORE
5.0,Perfect product!,Thank you samsung india! READ MORE
5.0,Awesome,Nice one 👍 READ MORE
5.0,Terrific purchase,Niceeee READ MORE
3.0,Just okay,Good Condition but No any indicator point front of Phone Such as. During Charging no any led light Show on Display READ MORE
5.0,Best in the market!,Super READ MORE
4.0,Good choice,Its OK READ MORE
3.0,Utterly Disappointed,Very poor quality don't buy this mobile READ MORE
5.0,Simply awesome,Nice READ MORE
3.0,Decent product,Midium READ MORE
4.0,Delightful,Good READ MORE
3.0,Fair,Phone hang problem READ MORE
3.0,Not recommended at all,My display hava a line inside and it hang so much READ MORE
4.0,Wonderful,Very nice phone in budget READ MORE
4.0,Really Nice,Good one READ MORE
4.0,Good quality product,Nice READ MORE
3.0,Very poor,"Product is below average, very pooor performance READ MORE"
3.0,Just okay,"It was an OBD , but the delivery boy refused to open  the box following the terms and conditions of OBD.        It is clear that some one deceived me. But who is the main culprit? READ MORE"
5.0,Terrific purchase,Nice 👍 READ MORE
5.0,Wonderful,Nice 👍 READ MORE
3.0,Useless product,Extremely slow phone! Complete waste of money  Don't buy! READ MORE
